persona,topic,engine,format_id,binding_exists,arc_exists,story_count,band_counts,required_bands_missing,min_depth_satisfied,last_story_update,risk,deficit_codes
corporate_managers,anxiety,comparison,F006,True,True,22,"{""2"": 7, ""3"": 12, ""1"": 1, ""4"": 1, ""5"": 1}",[],True,1772593599.7595043,GREEN,[]
corporate_managers,anxiety,false_alarm,F006,True,True,22,"{""2"": 7, ""3"": 12, ""1"": 1, ""4"": 1, ""5"": 1}",[],True,1772593599.7597065,GREEN,[]
corporate_managers,anxiety,grief,F006,True,True,22,"{""2"": 7, ""3"": 12, ""1"": 1, ""4"": 1, ""5"": 1}",[],True,1772593599.7598526,GREEN,[]
corporate_managers,anxiety,overwhelm,F006,True,True,22,"{""2"": 7, ""3"": 12, ""1"": 1, ""4"": 1, ""5"": 1}",[],True,1772593599.7600813,GREEN,[]
corporate_managers,anxiety,shame,F006,True,True,21,"{""2"": 7, ""3"": 11, ""4"": 1, ""1"": 1, ""5"": 1}",[],True,1772593599.760609,GREEN,[]
corporate_managers,anxiety,spiral,F006,True,True,22,"{""2"": 7, ""3"": 12, ""1"": 1, ""4"": 1, ""5"": 1}",[],True,1772593599.761072,GREEN,[]
corporate_managers,anxiety,watcher,F006,True,True,22,"{""2"": 7, ""3"": 12, ""1"": 1, ""4"": 1, ""5"": 1}",[],True,1772593599.7614691,GREEN,[]
corporate_managers,boundaries,comparison,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7620473,GREEN,[]
corporate_managers,boundaries,false_alarm,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.762357,GREEN,[]
corporate_managers,boundaries,shame,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7627056,GREEN,[]
corporate_managers,burnout,grief,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7630687,GREEN,[]
corporate_managers,burnout,overwhelm,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.763398,GREEN,[]
corporate_managers,burnout,watcher,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.763732,GREEN,[]
corporate_managers,compassion_fatigue,grief,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.764101,GREEN,[]
corporate_managers,compassion_fatigue,overwhelm,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7649872,GREEN,[]
corporate_managers,compassion_fatigue,watcher,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7654805,GREEN,[]
corporate_managers,courage,false_alarm,F006,True,True,21,"{""2"": 4, ""3"": 10, ""4"": 3, ""1"": 3, ""5"": 1}",[],True,1772593599.7660096,GREEN,[]
corporate_managers,courage,shame,F006,True,True,21,"{""2"": 4, ""3"": 10, ""4"": 3, ""1"": 3, ""5"": 1}",[],True,1772593599.766377,GREEN,[]
corporate_managers,courage,spiral,F006,True,True,21,"{""2"": 4, ""3"": 10, ""4"": 3, ""1"": 3, ""5"": 1}",[],True,1772593599.7666922,GREEN,[]
corporate_managers,depression,grief,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7669487,GREEN,[]
corporate_managers,depression,overwhelm,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7672198,GREEN,[]
corporate_managers,depression,watcher,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.767567,GREEN,[]
corporate_managers,financial_anxiety,overwhelm,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7679334,GREEN,[]
corporate_managers,financial_anxiety,shame,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7682264,GREEN,[]
corporate_managers,financial_anxiety,spiral,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7685041,GREEN,[]
corporate_managers,financial_stress,overwhelm,F006,True,True,21,"{""2"": 4, ""3"": 10, ""4"": 3, ""1"": 3, ""5"": 1}",[],True,1772593599.7687304,GREEN,[]
corporate_managers,financial_stress,shame,F006,True,True,21,"{""2"": 4, ""3"": 10, ""4"": 3, ""1"": 3, ""5"": 1}",[],True,1772593599.768999,GREEN,[]
corporate_managers,financial_stress,spiral,F006,True,True,21,"{""2"": 4, ""3"": 10, ""4"": 3, ""1"": 3, ""5"": 1}",[],True,1772593599.7692451,GREEN,[]
corporate_managers,grief,grief,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7697797,GREEN,[]
corporate_managers,grief,watcher,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.770205,GREEN,[]
corporate_managers,imposter_syndrome,comparison,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.770593,GREEN,[]
corporate_managers,imposter_syndrome,shame,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7709281,GREEN,[]
corporate_managers,overthinking,false_alarm,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.771382,GREEN,[]
corporate_managers,overthinking,spiral,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7717092,GREEN,[]
corporate_managers,overthinking,watcher,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7721202,GREEN,[]
corporate_managers,self_worth,comparison,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.7724159,GREEN,[]
corporate_managers,self_worth,shame,F006,True,True,12,"{""2"": 2, ""4"": 3, ""3"": 4, ""1"": 2, ""5"": 1}",[],True,1772593599.772639,GREEN,[]
