lane_id,brand_id,teacher_id,topic_id,persona_id,format_id,runtime_format_id,content_type,priority,title_count,sample_catalog_id,sample_title
de_DE,adhd_forge_de_de,kai_brennan,adhd_focus,gen_z_professionals,F003,short_book_30,series_book,WAVE_1,1,CAT-BBCF2BB8F2D2,The Adhd_Focus Series: The Path Forward
de_DE,adhd_forge_de_de,kai_brennan,adhd_focus,gen_z_professionals,F003,short_book_30,series_book,WAVE_2,6,CAT-178C3670E3C4,The Adhd_Focus Series: Book 2
de_DE,adhd_forge_de_de,kai_brennan,adhd_focus,gen_z_professionals,F006,standard_book,standalone,WAVE_2,1,CAT-5F7D835C7B3E,The Path Forward
de_DE,adhd_forge_de_de,kai_brennan,adhd_focus,gen_z_professionals,F015,micro_book_15,micro_book,WAVE_1,1,CAT-8298741A1F1E,The Path Forward
de_DE,adhd_forge_de_de,kai_brennan,anxiety,gen_z_professionals,F003,short_book_30,series_book,WAVE_1,1,CAT-ADAFFFB25B01,The Steady Ground Collection: The Alarm Is Lying
de_DE,adhd_forge_de_de,kai_brennan,anxiety,gen_z_professionals,F003,short_book_30,series_book,WAVE_2,6,CAT-17346A628D1E,The Steady Ground Collection: Book 2
de_DE,adhd_forge_de_de,kai_brennan,anxiety,gen_z_professionals,F006,standard_book,standalone,WAVE_2,1,CAT-04164B7F54FB,The Emergency That Never Comes
de_DE,adhd_forge_de_de,kai_brennan,anxiety,gen_z_professionals,F015,micro_book_15,micro_book,WAVE_1,1,CAT-D0729C7FA9D3,Safe Enough
de_DE,adhd_forge_de_de,kai_brennan,imposter_syndrome,gen_z_professionals,F003,short_book_30,series_book,WAVE_1,1,CAT-E4342D925E78,Own Your Seat Collection: You're Not a Fraud
de_DE,adhd_forge_de_de,kai_brennan,imposter_syndrome,gen_z_professionals,F003,short_book_30,series_book,WAVE_2,6,CAT-252E12B405C8,Own Your Seat Collection: Book 2
de_DE,adhd_forge_de_de,kai_brennan,imposter_syndrome,gen_z_professionals,F007,standard_book,standalone,WAVE_2,1,CAT-304DE3EB9477,You're Not a Fraud
