brand_id	topic	persona	format	locale	runtime	section_plan_id	variant_pool_size	readiness_state	catalog_id	pipeline_route	notes
adhd_forge_mystery	adhd_focus	gen_z_professionals	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.adhd_focus.gen_z_professionals.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=1; book_slot=1; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	adhd_focus	gen_z_student	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.adhd_focus.gen_z_student.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=1; book_slot=2; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	adhd_focus	gen_alpha_students	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.adhd_focus.gen_alpha_students.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=1; book_slot=3; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	adhd_focus	entrepreneurs	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.adhd_focus.entrepreneurs.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=1; book_slot=4; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	adhd_focus	corporate_managers	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.adhd_focus.corporate_managers.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=1; book_slot=5; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	courage	gen_z_student	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.courage.gen_z_student.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=2; book_slot=1; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	courage	gen_alpha_students	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.courage.gen_alpha_students.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=2; book_slot=2; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	courage	entrepreneurs	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.courage.entrepreneurs.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=2; book_slot=3; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	courage	corporate_managers	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.courage.corporate_managers.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=2; book_slot=4; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
adhd_forge_mystery	courage	gen_z_professionals	standard_book	en_US	55	pearl_prime_12x10x5	5	planned	adhd_forge_mystery.courage.gen_z_professionals.standard_book.en_US	scripts/run_pipeline.py --pipeline-mode spine	series_slot=2; book_slot=5; coverage_matrix_ref=artifacts/coordination/brand_locale_surface_coverage_matrix_2026-05-30.tsv; standard_book chapter-count pending Wave 1 baseline confirmation (10ch registry default vs 12ch F006 arc; operator gold-reference ruling pending); prose expansion not authorized; catalog row only
