brand_id,lane_id,total_titles,series_count,standalone_count,micro_count,deep_count,wave_1_count,wave_2_count,wave_3_count
adhd_forge_de_de,de_DE,18,14,2,2,0,4,14,0
awakening_press_de_de,de_DE,18,14,2,2,0,4,14,0
body_wisdom_de_de,de_DE,18,14,2,2,0,4,14,0
career_lift_de_de,de_DE,18,14,2,2,0,4,14,0
confidence_core_de_de,de_DE,18,14,2,2,0,4,14,0
cosmic_edge_de_de,de_DE,18,14,2,2,0,4,14,0
creative_unfold_de_de,de_DE,18,14,2,2,0,4,14,0
executive_calm_de_de,de_DE,18,14,2,2,0,4,14,0
gen_spark_de_de,de_DE,18,14,2,2,0,4,14,0
gentle_wave_de_de,de_DE,18,14,2,2,0,4,14,0
healing_ground_press_de_de,de_DE,18,14,2,2,0,4,14,0
inner_light_press_de_de,de_DE,18,14,2,2,0,4,14,0
iron_will_de_de,de_DE,18,14,2,2,0,4,14,0
legacy_builder_de_de,de_DE,18,14,2,2,0,4,14,0
night_reset_de_de,de_DE,18,14,2,2,0,4,14,0
optimizer_de_de,de_DE,18,14,2,2,0,4,14,0
relationship_clarity_de_de,de_DE,18,14,2,2,0,4,14,0
resilient_parent_de_de,de_DE,18,14,2,2,0,4,14,0
stabilizer_de_de,de_DE,18,14,2,2,0,4,14,0
still_forest_de_de,de_DE,18,14,2,2,0,4,14,0
truth_compass_de_de,de_DE,18,14,2,2,0,4,14,0
vitality_path_de_de,de_DE,18,14,2,2,0,4,14,0
zen_clarity_de_de,de_DE,18,14,2,2,0,4,14,0
adhd_forge_en_us,en_US,18,14,2,2,0,4,14,0
awakening_press_en_us,en_US,18,14,2,2,0,4,14,0
body_wisdom_en_us,en_US,18,14,2,2,0,4,14,0
career_lift_en_us,en_US,18,14,2,2,0,4,14,0
confidence_core_en_us,en_US,18,14,2,2,0,4,14,0
cosmic_edge_en_us,en_US,18,14,2,2,0,4,14,0
creative_unfold_en_us,en_US,18,14,2,2,0,4,14,0
executive_calm_en_us,en_US,18,14,2,2,0,4,14,0
gen_spark_en_us,en_US,18,14,2,2,0,4,14,0
gentle_wave_en_us,en_US,18,14,2,2,0,4,14,0
healing_ground_press_en_us,en_US,18,14,2,2,0,4,14,0
inner_light_press_en_us,en_US,18,14,2,2,0,4,14,0
iron_will_en_us,en_US,18,14,2,2,0,4,14,0
legacy_builder_en_us,en_US,18,14,2,2,0,4,14,0
night_reset_en_us,en_US,18,14,2,2,0,4,14,0
optimizer_en_us,en_US,18,14,2,2,0,4,14,0
relationship_clarity_en_us,en_US,18,14,2,2,0,4,14,0
resilient_parent_en_us,en_US,18,14,2,2,0,4,14,0
soul_repair_en_us,en_US,18,14,2,2,0,4,14,0
stabilizer_en_us,en_US,18,14,2,2,0,4,14,0
still_forest_en_us,en_US,18,14,2,2,0,4,14,0
truth_compass_en_us,en_US,18,14,2,2,0,4,14,0
vitality_path_en_us,en_US,18,14,2,2,0,4,14,0
zen_clarity_en_us,en_US,18,14,2,2,0,4,14,0
adhd_forge_es_es,es_ES,6,4,1,1,0,2,4,0
awakening_press_es_es,es_ES,6,4,1,1,0,2,4,0
body_wisdom_es_es,es_ES,6,4,1,1,0,2,4,0
career_lift_es_es,es_ES,6,4,1,1,0,2,4,0
confidence_core_es_es,es_ES,6,4,1,1,0,2,4,0
cosmic_edge_es_es,es_ES,6,4,1,1,0,2,4,0
creative_unfold_es_es,es_ES,6,4,1,1,0,2,4,0
executive_calm_es_es,es_ES,6,4,1,1,0,2,4,0
gen_spark_es_es,es_ES,6,4,1,1,0,2,4,0
gentle_wave_es_es,es_ES,6,4,1,1,0,2,4,0
healing_ground_press_es_es,es_ES,6,4,1,1,0,2,4,0
inner_light_press_es_es,es_ES,6,4,1,1,0,2,4,0
iron_will_es_es,es_ES,6,4,1,1,0,2,4,0
legacy_builder_es_es,es_ES,6,4,1,1,0,2,4,0
