manifest_row_id	source_bank	source_file	atom_id	atom_family	locale	topic	persona	platform_fit	surface_fit	promotion_class	operator_approval	native_review_required	weekly_refresh_required	target_path	target_review_status	production_ready	promotion_action	blockers	expiration_or_review_by	notes
CAND-0001	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-HC-01	HOOK_COVER	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0002	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-HC-02	HOOK_COVER	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0003	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-HC-03	HOOK_COVER	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0004	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-SS-01	SOMATIC_SETUP	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0005	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-SS-02	SOMATIC_SETUP	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0006	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-SS-03	SOMATIC_SETUP	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0007	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-PA-01	PROBLEM_AGITATION	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0008	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-PA-02	PROBLEM_AGITATION	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0009	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-PA-03	PROBLEM_AGITATION	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
CAND-0010	evergreen_en_us_atoms	artifacts/social_media_atoms/pearl_social_media_writer_20260718/evergreen_en_us_atoms.jsonl	EVG-ENUS-BURN-CORP-ME-01	MECHANISM_EXPLAINER	en-US	burnout	corporate_managers	instagram;facebook;linkedin;tiktok_reels_shorts;youtube;pinterest;x;threads;google_business	static_caption;carousel;thread;short_video_script;business_update	operator_approved_evergreen_en_us_candidate	operator_approved_in_chat_2026-07-18	no	no	SOURCE_OF_TRUTH/social_media_atoms/evergreen_en_us_atoms.jsonl	reviewed_candidate	no	prepare_only_copy_after_separate_git_authorization	none_for_candidate_review;no_live_publish_authorized	operator_review_complete_2026-07-18	Candidate separated from native-review rows; original proof-root atom remains unchanged.
