path	defect_class	en_source_status	other_locales_affected	origin_commit
atoms/healthcare_rns/financial_anxiety/watcher/locales/zh-TW/CANONICAL.txt	UNCLEAR_MIXED	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/financial_anxiety/INTEGRATION/locales/zh-TW/CANONICAL.txt	EMPTY_STUB	EN_ALSO_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	0d1cf1520d
atoms/healthcare_rns/financial_anxiety/overwhelm/locales/zh-TW/CANONICAL.txt	EMPTY_STUB	EN_ALSO_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	0ac28088fc
atoms/healthcare_rns/financial_anxiety/spiral/locales/zh-TW/CANONICAL.txt	EMPTY_STUB	EN_ALSO_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	0ac28088fc
atoms/healthcare_rns/financial_anxiety/grief/locales/zh-TW/CANONICAL.txt	UNCLEAR_MIXED	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/financial_anxiety/false_alarm/locales/zh-TW/CANONICAL.txt	UNCLEAR_MIXED	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/financial_anxiety/shame/locales/zh-TW/CANONICAL.txt	EMPTY_STUB	EN_ALSO_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	0ac28088fc
atoms/healthcare_rns/financial_anxiety/COMPRESSION/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	AFFECTED:ja-JP	d2d79c4e93
atoms/healthcare_rns/financial_anxiety/comparison/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/financial_anxiety/HOOK/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	AFFECTED:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/watcher/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/overwhelm/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_ALSO_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/spiral/locales/zh-TW/CANONICAL.txt	UNCLEAR_MIXED	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/grief/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/false_alarm/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/shame/locales/zh-TW/CANONICAL.txt	UNCLEAR_MIXED	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/COMPRESSION/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	AFFECTED:ja-JP	d2d79c4e93
atoms/healthcare_rns/compassion_fatigue/comparison/locales/zh-TW/CANONICAL.txt	UNCLEAR_MIXED	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/compassion_fatigue/REFLECTION/locales/zh-TW/CANONICAL.txt	EMPTY_STUB	EN_ALSO_CORRUPTED	AFFECTED:ja-JP	0d1cf1520d
atoms/healthcare_rns/anxiety/watcher/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/anxiety/overwhelm/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/anxiety/spiral/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/anxiety/grief/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/anxiety/false_alarm/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
atoms/healthcare_rns/anxiety/COMPRESSION/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	AFFECTED:ja-JP	d2d79c4e93
atoms/healthcare_rns/anxiety/comparison/locales/zh-TW/CANONICAL.txt	UNTRANSLATED_ENGLISH	EN_CLEAN_ZH_CORRUPTED	PRESENT_CLEAN:ja-JP,zh-CN	85cd624e95
