chapter,section,section_name,style,scene_socket,text
5,01,opening_waiting_has_cost,direct,,So now you know.
5,01,opening_waiting_has_cost,peer,,So now you know.
5,01,opening_waiting_has_cost,gentle,,So now you know.
5,01,opening_waiting_has_cost,warm,,"Gently, so now you know."
5,01,opening_waiting_has_cost,storyteller,,So now you know.
5,02,what_happens_while_you_wait,direct,,"While you wait, life happens without you."
5,02,what_happens_while_you_wait,peer,,"While you wait, life happens without you."
5,02,what_happens_while_you_wait,gentle,,"While you wait, life happens without you."
5,02,what_happens_while_you_wait,warm,,"Gently, while you wait, life happens without you."
5,02,what_happens_while_you_wait,storyteller,,"While you wait, life happens without you."
5,03,invisible_accumulation,direct,,The cost accumulates invisibly. Day by day.
5,03,invisible_accumulation,peer,,The cost accumulates invisibly. Day by day.
5,03,invisible_accumulation,gentle,,The cost accumulates invisibly. Day by day.
5,03,invisible_accumulation,warm,,"Gently, the cost accumulates invisibly. Day by day."
5,03,invisible_accumulation,storyteller,,The cost accumulates invisibly. Day by day.
5,04,what_youre_actually_losing,direct,,What you're losing: this moment. Irreplaceable.
5,04,what_youre_actually_losing,peer,,What you're losing: this moment. Irreplaceable.
5,04,what_youre_actually_losing,gentle,,What you're losing: this moment. Irreplaceable.
5,04,what_youre_actually_losing,warm,,"Gently, what you're losing: this moment. Irreplaceable."
5,04,what_youre_actually_losing,storyteller,,What you're losing: this moment. Irreplaceable.
5,05,relationships_youre_not_building,direct,{scene_07},"Here's what waiting costs you in relationships:

**Connection."
5,05,relationships_youre_not_building,peer,{scene_07},"Here's what waiting costs you in relationships:

**Connection."
5,05,relationships_youre_not_building,gentle,{scene_07},"Here's what waiting costs you in relationships:

**Connection."
5,05,relationships_youre_not_building,warm,{scene_07},"Gently, here's what waiting costs you in relationships:

**Connection."
5,05,relationships_youre_not_building,storyteller,{scene_07},"Here's what waiting costs you in relationships:

**Connection."
5,06,version_that_never_gets_seen,direct,,The real you never gets seen. You keep sending the safe version.
5,06,version_that_never_gets_seen,peer,,The real you never gets seen—keep sending the safe version.
5,06,version_that_never_gets_seen,gentle,,The real you never gets seen. You keep sending the safe version.
5,06,version_that_never_gets_seen,warm,,"Gently, the real you never gets seen. You keep sending the safe version."
5,06,version_that_never_gets_seen,storyteller,,The real you never gets seen. You keep sending the safe version.
5,07,what_youre_trading,direct,,You're trading real life for imaginary readiness.
5,07,what_youre_trading,peer,,You're trading real life for imaginary readiness.
5,07,what_youre_trading,gentle,,You're trading real life for imaginary readiness.
5,07,what_youre_trading,warm,,"Gently, you're trading real life for imaginary readiness."
5,07,what_youre_trading,storyteller,,You're trading real life for imaginary readiness.
5,08,life_thats_passing_you_by,direct,,Life is passing. It doesn't wait for your calm.
5,08,life_thats_passing_you_by,peer,,Life is passing. It doesn't wait for your calm.
5,08,life_thats_passing_you_by,gentle,,Life is passing. It doesn't wait for your calm.
5,08,life_thats_passing_you_by,warm,,"Gently, life is passing. It doesn't wait for your calm."
5,08,life_thats_passing_you_by,storyteller,,Life is passing. It doesn't wait for your calm.
5,09,cost_you_cant_get_back,direct,{scene_08},Time lost is gone. No refunds.
5,09,cost_you_cant_get_back,peer,{scene_08},Time lost is gone. No refunds.
5,09,cost_you_cant_get_back,gentle,{scene_08},Time lost is gone. No refunds.
5,09,cost_you_cant_get_back,warm,{scene_08},"Gently, time lost is gone. No refunds."
5,09,cost_you_cant_get_back,storyteller,{scene_08},Time lost is gone. No refunds.
5,10,what_happens_if_you_keep_waiting,direct,,Keep waiting → keep losing. The math is simple.
5,10,what_happens_if_you_keep_waiting,peer,,Keep waiting → keep losing. The math is simple.
5,10,what_happens_if_you_keep_waiting,gentle,,Keep waiting → keep losing. The math is simple.
5,10,what_happens_if_you_keep_waiting,warm,,"Gently, keep waiting → keep losing. The math is simple."
5,10,what_happens_if_you_keep_waiting,storyteller,,Keep waiting → keep losing. The math is simple.
5,11,question_you_need_to_answer,direct,,How much longer will you wait?
5,11,question_you_need_to_answer,peer,,How much longer will you wait?
5,11,question_you_need_to_answer,gentle,,How much longer will you wait?
5,11,question_you_need_to_answer,warm,,"Gently, how much longer will you wait?"
5,11,question_you_need_to_answer,storyteller,,How much longer will you wait?
5,12,whats_at_stake,direct,,At stake: everything you keep postponing.
5,12,whats_at_stake,peer,,At stake: everything you keep postponing.
5,12,whats_at_stake,gentle,,At stake: everything you keep postponing.
5,12,whats_at_stake,warm,,"Gently, at stake: everything you keep postponing."
5,12,whats_at_stake,storyteller,,At stake: everything you keep postponing.
5,13,shift_that_has_to_happen,direct,,The shift: stop waiting. Start living.
5,13,shift_that_has_to_happen,peer,,The shift: stop waiting. Start living.
5,13,shift_that_has_to_happen,gentle,,The shift: stop waiting. Start living.
5,13,shift_that_has_to_happen,warm,,"Gently, the shift: stop waiting. Start living."
5,13,shift_that_has_to_happen,storyteller,,The shift: stop waiting. Start living.
5,14,what_happens_next,direct,,What's next: you act. While anxious. Now.
5,14,what_happens_next,peer,,What's next: you act. While anxious. Now.
5,14,what_happens_next,gentle,,What's next: you act. While anxious. Now.
5,14,what_happens_next,warm,,"Gently, what's next: you act. While anxious. Now."
5,14,what_happens_next,storyteller,,What's next: you act. While anxious. Now.
